Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;5_Merkmal_Code;5_Merkmal_Label;5_Auspraegung_Code;5_Auspraegung_Label;UMS103__Umsatzindex__2015=100
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;102,8
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;106,3
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;104,8
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT01;Januar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;113,9
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;95,6
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;99,1
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;98,9
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT02;Februar;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;112,9
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;März;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;108,2
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;März;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;März;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;März;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;112,3
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;März;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;114,3
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT03;März;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;113,3
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;105,2
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;109,9
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;109,6
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT04;April;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;113,4
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;107,8
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;112,4
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;110,1
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT05;Mai;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;NOMINAL;in jeweiligen Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;113,4
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;WERTORG;Originalwerte;107,9
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKB;X13 JDemetra+  kalenderbereinigt;-
47414;Konjunkturstatistik im Dienstleistungsbereich;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;MONAT;Monate;MONAT06;Juni;WZ08N7;Wirtschaftszweige (WZ 2008);WZ08-H-04;Ausgewählte Dienstleistungsbereiche u. Gastgewerbe;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT01;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;-
