Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;5_Merkmal_Code;5_Merkmal_Label;5_Auspraegung_Code;5_Auspraegung_Label;UMS002__Umsatz__2015=100
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT01;Januar;108,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT02;Februar;107,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT03;März;106,5
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT04;April;106,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT05;Mai;102,8
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT06;Juni;106,7
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT07;Juli;103,4
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT08;August;102,9
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT09;September;102,6
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT10;Oktober;105,2
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;X13JDKSB;X13 JDemetra+  kalender- und saisonbereinigt;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;MONAT;Monate;MONAT11;November;108,0
